Timestamp,User Name,Role,Action,Resource,Details,IP Address
"2025-12-14T16:28:55.243433Z","admin","SPV_Official","UPLOAD","Document","Title: Tender Document Vol I RFQ cum RFP | File: Tender Document Vol I RFQ cum RFP.pdf | Version: 1","127.0.0.1/32"
"2025-12-14T15:37:13.612142Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:37:13.538547Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:36:15.876182Z","admin","SPV_Official","DOWNLOAD","Document","Version: 1","127.0.0.1/32"
"2025-12-14T15:36:15.708390Z","admin","SPV_Official","DOWNLOAD","Document","Version: 1","127.0.0.1/32"
"2025-12-14T15:36:15.520812Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:36:15.456048Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:36:15.371030Z","admin","SPV_Official","DOWNLOAD","Document","Version: 1","127.0.0.1/32"
"2025-12-14T15:36:15.293885Z","admin","SPV_Official","DOWNLOAD","Document","Version: 1","127.0.0.1/32"
"2025-12-14T15:36:15.289951Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:36:15.108894Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:35:41.508925Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:32:40.117277Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:32:40.049581Z","admin","SPV_Official","VIEW","Document","{}","127.0.0.1/32"
"2025-12-14T15:32:36.674216Z","admin","SPV_Official","UPLOAD","Document","Title: PMIS - Zaheerabad Industrial Area | File: PMIS - Zaheerabad Industrial Area.pdf | Version: 1","127.0.0.1/32"
"2025-12-14T15:32:29.660046Z","admin","SPV_Official","FOLDER_CREATED","Folder","{""name"":""land papers"",""parent"":null,""project"":""1""}","127.0.0.1/32"
